author,search,title
admin,"index=* (sourcetype=*mcafee* OR sourcetype=*eset*) ((signature=""HTOOL*"" OR signature=""HKTL*"" OR signature=""SecurityTool*"" OR signature=""Adfind*"" OR signature=""ATK/*"" OR signature=""Exploit.Script.CVE*"" OR signature=""PWS.*"" OR signature=""PWSX*"") OR (signature=""*Hacktool*"" OR signature=""*ATK/*"" OR signature=""*Potato*"" OR signature=""*Rozena*"" OR signature=""*Sbelt*"" OR signature=""*Seatbelt*"" OR signature=""*SecurityTool*"" OR signature=""*SharpDump*"" OR signature=""*Sliver*"" OR signature=""*Splinter*"" OR signature=""*Swrort*"" OR signature=""*Impacket*"" OR signature=""*Koadic*"" OR signature=""*Lazagne*"" OR signature=""*Metasploit*"" OR signature=""*Meterpreter*"" OR signature=""*MeteTool*"" OR signature=""*Mimikatz*"" OR signature=""*Mpreter*"" OR signature=""*Nighthawk*"" OR signature=""*PentestPowerShell*"" OR signature=""*PowerSploit*"" OR signature=""*PowerSSH*"" OR signature=""*PshlSpy*"" OR signature=""*PSWTool*"" OR signature=""*PWCrack*"" OR signature=""*Brutel*"" OR signature=""*BruteR*"" OR signature=""*Cobalt*"" OR signature=""*COBEACON*"" OR signature=""*Cometer*"" OR signature=""*DumpCreds*"" OR signature=""*FastReverseProxy*"" OR signature=""*PWDump*""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""Critical"" 
| stats values(file_name) as File_name values(file_hash) as File_hash values(sourcetype) as ""Source Type"" values(action_taken) as Action_Taken values(signature) as Signature count by Alert_Severity Time host hostname
| rename Time as ""Detected Time""","FPT - Antivirus Hacktool Detected by AV"
admin,"index=* (sourcetype=*mcafee* OR sourcetype=*eset*) signature IN (""*BlackWorm*"", ""*Chaos*"", ""*Cobra*"", ""*ContiCrypt*"", ""*Crypter*"", ""*CRYPTES*"", ""*Cryptor*"", ""*CylanCrypt*"", ""*DelShad*"", ""*Destructor*"", ""*Filecoder*"", ""*GandCrab*"", ""*GrandCrab*"", ""*Haperlock*"", ""*Hiddentear*"", ""*HydraCrypt*"", ""*Krypt*"", ""*Lockbit*"", ""*Locker*"", ""*Mallox*"", ""*Phobos*"", ""*Ransom*"", ""*Ryuk*"", ""*Ryzerlo*"", ""*Stopcrypt*"", ""*Tescrypt*"", ""*TeslaCrypt*"", ""*WannaCry*"", ""*Xorist*"")
| convert timeformat=""%Y-%m-%d %H:%M:00"" ctime(_time) as Time | eval Alert_Severity=""Critical"" 
| stats values(file_name) as File_Name values(file_path) as File_Path values(file_hash) as File_Hash values(hostname) as Host_Name values(ipv4) as ipv4 values(user) as User values(action_taken) as Action_taken count by Alert_Severity Time signature","FPT - Antivirus Ransomware Detected by AV"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" `APT_User_Agent`
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time 
| eval Alert_Severity=""Medium""
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - APT User Agent"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (uri_path=""*momyshark\?key=*"" OR URL=""*momyshark\?key=*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - BabyShark Agent Pattern"
admin,"index=* sourcetype=""*WinEventLog*"" (EventID=4624 OR EventID=4625) user!="""" src!=- src_ip!=- user!=*$
| bucket _time span=15m
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time 
| eval Alert_Severity=""Medium""
| eval src_dst=""Source IP:"" + src_ip + "" Dest:""+ dest
| stats count(eval(action=""success"")) as successes count(eval(action=""failure"")) as failures values(Source_Workstation) as Source_Workstation values(src_dst) as ""Source IP and Dest"" by Alert_Severity Time user 
| where failures>=100 AND successes>0
| sort - failures","FPT - Basic Brute Force Detection"
admin,"index=* sourcetype=cyberark (act=""Undefined User Logon"" OR act=""User Authentication"")
| rename act as ""Event Name"", shost as ""Source IP"", cs5 as ""Destination IP"", suser as ""Username""
| eval Alert_Severity=""High""  
| stats values(Event Name) as Signature earliest(_time) as First, latest(_time) as Last count by Alert_Severity ""Source IP"", ""Destination IP"", ""Username""
| eval First=strftime(First,""%+"") 
| eval Last=strftime(Last,""%+"")
| where count >= 3","FPT - Brute Force Attack On PAM"
admin,"index=* sourcetype=linux_* tag=authentication ""*fail*""
| bucket _time span=15m
| eval Alert_Severity=""High""  
| stats values(ip) as IP values(sourcetype) as ""Source Type"" values(hostname) as Host_Name count by Alert_Severity _time username
| where count > 10
| rename username as ""User Name""
| fillnull value=N/A Host_Name","FPT - BruteForce Attack on Linux"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (URL=""*/asp.asp\?ui=*"" OR uri_path=""*/asp.asp\?ui=*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - Chafer Malware URL Pattern"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (((http_user_agent=""Mozilla/4.0 (compatible; MSIE 6.0;Windows NT 5.1)"" OR http_user_agent=""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E )"" OR http_user_agent=""Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 5.2) Java/1.5.0_08"") OR http_user_agent=""*; MANM; MANM)"") OR ((Agent=""Mozilla/4.0 (compatible; MSIE 6.0;Windows NT 5.1)"" OR Agent=""Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E )"" OR Agent=""Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 5.2) Java/1.5.0_08"") OR Agent=""*; MANM; MANM)""))
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CobaltStrike Malformed UAs in Malleable Profiles"
"soc_monitor","index=* sourcetype=""nginx:plus:access"" source=""/var/log/audit/log/*access.log*"" (URL=""*/oscp/*"" OR uri_path=""*/oscp/*"")
| convert timeformat=""%Y/%m/%d %H:%M:%S"" ctime(_time) as Time | eval Alert_Severity=""High""  
|  stats values(client_ip) as client_ip, values(src_ip) as src_ip , values(dest_ip) as dest_ip , values(dest_port) as dest_port , values(http_referrer) as http_referrer , values(http_user_agent) as http_user_agent , values(http_x_forwarded_for) as http_x_forwarded_for , values(http_x_header) as http_x_header , values(Method) as Method , values(server) as Attack_Server , values(Status_Code) as Status_Code , values(uri_path) as uri_path , values(uri_query) as uri_query , values(URL) as URL , values(user) as user, values(Agent) as Agent count by Alert_Severity Time vendor_product
|  fillnull value=N/A client_ip src_ip dest_ip dest_port http_referrer http_user_agent http_x_forwarded_for http_x_header Method Attack_Server Status_Code uri_path uri_query URL user Agent","FPT - CobaltStrike Malleable (OCSP) Profile"
